rst:0x15 (USB_UART_CHIP_RESET),boot:0xc (SPI_FAST_FLASH_BOOT)
282.54,-168.25,838.10
379.36,-95.24,915.87
385.71,-73.02,987.30
403.17,-19.05,1061.90
363.49,-20.64,1092.06
312.70,-19.05,1114.29
233.33,-104.76,1047.62
174.60,-176.19,1044.44
73.02,-171.43,1065.08
-306.35,-200.00,1068.25
-41.27,-257.14,1023.81
-68.25,-250.79,992.06
-76.19,-307.94,961.90
-74.60,-328.57,888.89
1.59,-303.17,838.10
30.16,-376.19,861.90
180.95,-309.52,842.86
301.59,-284.13,961.90
-,-,-
-,-,-
123.81,-407.94,1452.38
1.59,-301.59,920.64
23.81,-331.75,866.67
130.16,-326.98,844.44
230.16,-280.95,846.03
311.11,-196.83,885.71
358.73,-125.40,944.44
377.78,-28.57,992.06
385.71,-68.25,1066.67
330.16,-25.40,1069.84
253.97,-68.25,1087.30
184.13,-152.38,1046.03
33.33,-182.54,1066.67
-3.17,-174.60,1039.68
-123.81,-228.57,1046.03
-122.22,-249.21,1041.27
-153.97,-300.00,1015.87
-126.98,-374.60,947.62
-28.57,-347.62,846.03
-19.05,-355.56,842.86
76.19,-322.22,834.92
206.35,-276.19,809.52
279.36,-253.97,893.65
331.75,-200.00,969.84
-,-,-
180.95,-350.79,1396.83
-28.57,-277.78,933.33
6.35,-326.98,893.65
103.17,-352.38,820.64
176.19,-301.59,865.08
252.38,-222.22,887.30
309.52,-153.97,920.64
384.13,-128.57,1015.87
361.90,-28.57,1019.05
312.70,-20.64,1069.84
353.97,-3.17,1096.83
253.97,-74.60,1071.43
176.19,-126.98,1044.44
50.79,-168.25,1047.62
-22.22,-169.84,996.83
-77.78,-220.64,1015.87
-95.24,-258.73,1065.08
-107.94,-303.17,1014.29
-201.59,-326.98,968.25
-47.62,-325.40,911.11
-1.59,-277.78,892.06
79.36,-253.97,846.03
133.33,-247.62,868.25
225.40,-204.76,909.52
-,-,-
104.76,-461.90,1523.81
-23.81,-269.84,1019.05
-68.25,-298.41,998.41
-41.27,-328.57,960.32
26.98,-349.21,871.43
122.22,-333.33,844.44
201.59,-247.62,834.92
276.19,-177.78,915.87
326.98,-120.64,888.89
388.89,-47.62,965.08
428.57,-1.59,1014.29
306.35,31.75,1046.03
306.35,-19.05,1041.27
230.16,-120.64,1065.08
134.92,-146.03,1071.43
47.62,-131.75,1041.27
-22.22,-198.41,1093.65
-77.78,-231.75,1090.48
-103.17,-247.62,996.83
-80.95,-284.13,946.03
-50.79,-352.38,887.30
-20.64,-334.92,869.84
26.98,-330.16,839.68
106.35,-349.21,838.10
228.57,-279.36,865.08
323.81,-255.56,941.27
