rst:0x15 (USB_UART_CHIP_RESET),boot:0xc (SPI_FAST_FLASH_BOOT)
438.10,30.16,1012.70
438.10,76.19,1017.46
365.08,53.97,1039.68
377.78,-25.40,1041.27
253.97,-96.83,1015.87
198.41,-117.46,1100.00
77.78,-193.65,1090.48
55.56,-176.19,1065.08
6.35,-206.35,988.89
23.81,-323.81,992.06
123.81,-309.52,917.46
95.24,-353.97,863.49
176.19,-357.14,871.43
228.57,-282.54,819.05
252.38,-177.78,820.64
303.17,-244.44,893.65
380.95,-207.94,920.64
436.51,-122.22,963.49
-,-,-
257.14,-452.38,1473.02
96.83,-100.00,966.67
123.81,-153.97,971.43
147.62,-203.17,996.83
176.19,-223.81,971.43
209.52,-182.54,909.52
255.56,-150.79,911.11
309.52,-101.59,912.70
365.08,-47.62,869.84
388.89,-15.87,907.94
457.14,20.64,965.08
436.51,76.19,987.30
380.95,76.19,1023.81
358.73,33.33,996.83
280.95,-76.19,1246.03
250.79,-119.05,1087.30
126.98,-144.44,1065.08
98.41,-174.60,1069.84
47.62,-207.94,1090.48
0.00,-250.79,993.65
28.57,-326.98,995.24
52.38,-346.03,960.32
96.83,-330.16,841.27
171.43,-331.75,865.08
173.02,-304.76,842.86
257.14,-249.21,869.84
328.57,-177.78,915.87
409.52,-98.41,922.22
414.29,-20.64,992.06
-,-,-
380.95,-450.79,1579.37
98.41,-126.98,1011.11
98.41,-561.90,987.30
123.81,-273.02,969.84
179.36,-260.32,934.92
225.40,-255.56,882.54
284.13,-195.24,819.05
326.98,-120.64,839.68
390.48,-71.43,863.49
466.67,-26.98,866.67
438.10,-17.46,990.48
438.10,22.22,1036.51
388.89,71.43,1017.46
382.54,4.76,1041.27
360.32,-19.05,988.89
230.16,-76.19,1014.29
201.59,-100.00,1042.86
134.92,-150.79,1020.64
58.73,-177.78,1019.05
49.21,-200.00,1022.22
101.59,-304.76,1019.05
80.95,-303.17,987.30
79.36,-330.16,944.44
130.16,-347.62,920.64
152.38,-279.36,865.08
225.40,-296.83,844.44
311.11,-195.24,892.06
412.70,-150.79,887.30
482.54,-46.03,946.03
-,-,-
349.21,-457.14,1625.40
107.94,-150.79,1022.22
100.00,-174.60,992.06
77.78,-184.13,988.89
123.81,-203.17,960.32
157.14,-231.75,896.83
203.17,-220.64,839.68
277.78,-182.54,865.08
333.33,-126.98,887.30
438.10,-47.62,920.64
428.57,-26.98,958.73
409.52,7.94,968.25
428.57,20.64,973.02
382.54,4.76,1090.48
331.75,-20.64,1012.70
253.97,-55.56,1019.05
185.71,-120.64,1017.46
125.40,-149.21,1066.67
50.79,-168.25,1063.49
-22.22,-200.00,990.48
0.00,-279.36,941.27
31.75,-360.32,961.90
77.78,-358.73,912.70
109.52,-352.38,909.52
131.75,-300.00,839.68
231.75,-225.40,834.92
333.33,-228.57,939.68
357.14,-173.02,958.73
515.87,-106.35,965.08
-,-,-
282.54,-407.94,1577.78
107.94,-149.21,946.03
79.36,-177.78,960.32
106.35,-225.40,960.32
153.97,-277.78,968.25
185.71,-26.98,892.06
357.14,-225.40,860.32
309.52,-168.25,892.06
482.54,-147.62,896.83
453.97,-50.79,938.10
436.51,-23.81,941.27
438.10,-1.59,988.89
407.94,25.40,996.83
380.95,-1.59,1011.11
330.16,-30.16,971.43
228.57,-96.83,1022.22
153.97,-100.00,1042.86
98.41,-169.84,1039.68
49.21,-173.02,1022.22
28.57,-225.40,987.30
26.98,-282.54,968.25
47.62,-347.62,946.03
57.14,-355.56,914.29
103.17,-353.97,860.32
200.00,-328.57,811.11
357.14,-220.64,888.89
361.90,-207.94,968.25
-,-,-
284.13,-460.32,1623.81
84.13,-195.24,985.71
82.54,-247.62,971.43
131.75,-282.54,941.27
198.41,-301.59,885.71
257.14,-255.56,863.49
350.79,-174.60,841.27
357.14,-144.44,871.43
453.97,-73.02,912.70
480.95,-17.46,971.43
461.90,7.94,1046.03
412.70,52.38,1063.49
353.97,33.33,1039.68
277.78,-17.46,993.65
211.11,-119.05,1042.86
73.02,-125.40,1038.10
26.98,-195.24,1034.92
-1.59,-252.38,1068.25
-22.22,-280.95,1012.70
